sample_name	sample_type
11712.BLANK1.1A	TRUE
11712.BLANK1.1C	TRUE
11712.BLANK1.1F	TRUE
11712.BLANK1.1H	TRUE
11712.BLANK10.10A	TRUE
11712.BLANK10.10B	TRUE
11712.BLANK10.10E	TRUE
11712.BLANK10.10F	TRUE
11712.BLANK10.10G	TRUE
11712.BLANK10.10H	TRUE
11712.BLANK11.11A	TRUE
11712.BLANK11.11B	TRUE
11712.BLANK11.11D	TRUE
11712.BLANK11.11E	TRUE
11712.BLANK11.11F	TRUE
11712.BLANK11.11H	TRUE
11712.BLANK12.11B	TRUE
11712.BLANK12.11C	TRUE
11712.BLANK12.11D	TRUE
11712.BLANK12.11E	TRUE
11712.BLANK12.11F	TRUE
11712.BLANK12.11G	TRUE
11712.BLANK12.11H	TRUE
11712.BLANK12.12A	TRUE
11712.BLANK12.12C	TRUE
11712.BLANK12.12D	TRUE
11712.BLANK12.12E	TRUE
11712.BLANK12.12G	TRUE
11712.BLANK13.1A	TRUE
11712.BLANK13.1B	TRUE
11712.BLANK13.1E	TRUE
11712.BLANK13.1G	TRUE
11712.BLANK14.10D	TRUE
11712.BLANK14.10F	TRUE
11712.BLANK14.10G	TRUE
11712.BLANK14.10H	TRUE
11712.BLANK14.11E	TRUE
11712.BLANK14.11F	TRUE
11712.BLANK14.11G	TRUE
11712.BLANK14.11H	TRUE
11712.BLANK14.12C	TRUE
11712.BLANK14.12E	TRUE
11712.BLANK14.2B	TRUE
11712.BLANK14.2F	TRUE
11712.BLANK14.2G	TRUE
11712.BLANK14.2H	TRUE
11712.BLANK14.8H	TRUE
11712.BLANK14.9D	TRUE
11712.BLANK14.9F	TRUE
11712.BLANK14.9G	TRUE
11712.BLANK14.9H	TRUE
11712.BLANK15.12D	TRUE
11712.BLANK15.12E	TRUE
11712.BLANK15.12F	TRUE
11712.BLANK15.12G	TRUE
11712.BLANK15.3A	TRUE
11712.BLANK15.3B	TRUE
11712.BLANK15.3C	TRUE
11712.BLANK15.3E	TRUE
