"freq"	"prev"	"p.freq"	"p.prev"	"p"	"contaminant"
"Unassigned;__;__;__;__;__"	7.18409074483647e-08	1	NA	NA	NA	FALSE
"k__Archaea;p__Crenarchaeota;c__MCG;o__;f__;g__"	7.58479664746472e-07	1	NA	NA	NA	FALSE
"k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;__"	8.5963889541601e-06	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__"	1.98847736426685e-06	3	NA	0.605364056955314	0.605364056955314	FALSE
"k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Cenarchaeum"	1.09268917641991e-06	3	NA	0.605364056955314	0.605364056955314	FALSE
"k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus"	2.01341874641791e-05	1	NA	NA	NA	FALSE
"k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__"	2.28234726745168e-06	1	NA	NA	NA	FALSE
"k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera"	0.000171641822833084	96	NA	0.314019532265199	0.314019532265199	FALSE
"k__Archaea;p__Euryarchaeota;__;__;__;__"	7.38217155954368e-07	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;__"	2.64404709058445e-08	1	NA	NA	NA	FALSE
"k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halalkalicoccus"	3.21584769745305e-05	1	NA	NA	NA	FALSE
"k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloarcula"	4.58770333102587e-08	1	NA	NA	NA	FALSE
"k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacteriaceae"	1.2200704815196e-08	1	NA	NA	NA	FALSE
"k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium"	7.0327438877294e-07	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloferax"	5.76157939179846e-08	1	NA	NA	NA	FALSE
"k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halonotius"	9.20117970901380e-09	1	NA	NA	NA	FALSE
"k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorhabdus"	1.14853544947693e-05	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorubrum"	1.34787592291514e-05	3	NA	0.113498968522808	0.113498968522808	FALSE
"k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Natronomonas"	6.51818500800848e-06	10	NA	0.773173385136674	0.773173385136674	FALSE
"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium"	4.70344604137359e-06	6	NA	0.223611361850298	0.223611361850298	FALSE
"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter"	1.05918279107996e-06	3	NA	0.113498968522808	0.113498968522808	FALSE
"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter"	5.68704429635901e-07	4	NA	0.635330828733136	0.635330828733136	FALSE
"k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__"	0.000103051253946395	1	NA	NA	NA	FALSE
"k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta"	4.45651408122897e-08	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Marine group II;g__"	5.67543168842081e-06	1	NA	NA	NA	FALSE
"k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae];g__Methanomassiliicoccus"	9.08306896822073e-07	1	NA	NA	NA	FALSE
"k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__WCHD3-30;f__;g__"	2.06858090385401e-07	1	NA	NA	NA	FALSE
"k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114;f__;g__"	8.50388176029819e-06	3	NA	0.605364056955314	0.605364056955314	FALSE
"k__Bacteria;__;__;__;__;__"	0.000187791296180051	108	NA	0.453324677552187	0.453324677552187	FALSE
"k__Bacteria;p__;c__;o__;f__;g__"	3.93209978888985e-05	31	NA	0.142002596032684	0.142002596032684	FALSE
"k__Bacteria;p__Acidobacteria;__;__;__;__"	2.48665636078184e-07	3	NA	0.605364056955314	0.605364056955314	FALSE
"k__Bacteria;p__Acidobacteria;c__;o__;f__;g__"	4.41259414379921e-08	1	NA	NA	NA	FALSE
"k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__"	0.00010378932977509	69	NA	0.500000000000001	0.500000000000001	FALSE
"k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;__;__;__"	8.39645526229016e-06	19	NA	0.603375338360372	0.603375338360372	FALSE
"k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__"	4.82598016270472e-06	17	NA	0.556685318602364	0.556685318602364	FALSE
"k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__BPC015;f__;g__"	1.79277011667348e-06	1	NA	NA	NA	FALSE
"k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__"	1.69624406367579e-05	29	NA	0.519009465869449	0.519009465869449	FALSE
"k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;__;__"	1.6764093650105e-06	5	NA	0.187541533512706	0.187541533512706	FALSE
"k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__"	0.00150270795879221	189	NA	0.595027048937372	0.595027048937372	FALSE
