SampleID	FT_infant_stool	adult_oral	adult_skin	adult_stool	vaginal	Unknown
11712.SUBJECT33.STOOL.727	0.6596000000000001	0.0006000000000000001	0.2944	0.0002	0.0024000000000000002	0.04279999999999999
11713.20.S.20C	0.001	0.0004	0.99	0.0006000000000000001	0.0024000000000000002	0.005600000000000001
11713.25.S.25E	0.0008	0.0004	0.9955999999999999	0.0	0.002	0.0012000000000000001
11712.SUBJECT23.STOOL.499	0.087	0.0182	0.12520000000000003	0.0356	0.005399999999999999	0.7285999999999999
11712.SUBJECT41.STOOL.971	0.9956000000000002	0.0032	0.001	0.0002	0.0	0.0
11712.SUBJECT43.ORAL.1024	0.8652	0.0002	0.12720000000000004	0.0	0.0054	0.002
11712.SUBJECT19.STOOL.364	0.10899999999999999	0.012800000000000002	0.19839999999999997	0.009400000000000002	0.0014	0.6689999999999999
11712.SUBJECT41.ORAL.939	0.0024000000000000002	0.9450000000000001	0.04859999999999999	0.0006000000000000001	0.0016	0.0018000000000000002
11713.5.S.5B	0.0174	0.0021999999999999997	0.6115999999999999	0.14839999999999998	0.0028	0.21760000000000002
11712.SUBJECT25.SKIN.544	0.004	0.0032	0.9436	0.0002	0.014799999999999999	0.03420000000000001
11712.SUBJECT9.SKIN.1190	0.0004	0.0002	0.9960000000000001	0.0	0.0034000000000000002	0.0
11712.SUBJECT24.ORAL.509	0.0002	0.9658	0.0258	0.0008	0.006999999999999999	0.0004
11712.SUBJECT22.STOOL.477	0.007200000000000001	0.0156	0.04279999999999999	0.0004	0.0012000000000000001	0.9328
11713.22.F.22A	0.09479999999999998	0.020399999999999998	0.0418	0.5438	0.0094	0.2898
11712.SUBJECT20.ORAL.392	0.07560000000000001	0.6042000000000002	0.1626	0.020800000000000003	0.0004	0.13640000000000002
11713.21.F.21C	0.001	0.0004	0.9202	0.0	0.0026000000000000003	0.07579999999999999
11712.SUBJECT16.SKIN.171	0.002	0.0126	0.882	0.0002	0.023799999999999995	0.0794
11712.SUBJECT6.ORAL.1089	0.0	0.9862	0.013800000000000002	0.0	0.0	0.0
11712.SUBJECT20.STOOL.420	0.0406	0.0716	0.14819999999999997	0.012	0.0012000000000000001	0.7263999999999999
