sample_name	Spectral Match to Erythromycin from NIST14	Cefdinir	MLS001332439-01!Chlorhexidine dihydrochloride3697-42-5
11712.SUBJECT1.SKIN.11	0	0	0
11712.SUBJECT1.SKIN.12	0	0	0
11712.SUBJECT1.SKIN.13	0	0	0
11712.SUBJECT1.SKIN.14	0	0	0
11712.SUBJECT1.SKIN.15	0	0	0
11712.SUBJECT1.SKIN.16	0	0	0
11712.SUBJECT1.SKIN.17	0	0	0
11712.SUBJECT1.SKIN.18	0	0	0
11712.SUBJECT1.SKIN.19	0	0	0
11712.SUBJECT1.SKIN.20	0	0	0
11712.SUBJECT10.SKIN.38	0	0	0
11712.SUBJECT10.SKIN.39	0	0	0
11712.SUBJECT10.SKIN.40	0	0	0
11712.SUBJECT10.SKIN.41	0	0	0
11712.SUBJECT10.SKIN.42	0	0	0
11712.SUBJECT10.SKIN.44	0	0	0
11712.SUBJECT10.SKIN.45	0	0	0
11712.SUBJECT11.SKIN.57	0	0	0
11712.SUBJECT11.SKIN.58	0	0	0
11712.SUBJECT11.SKIN.59	0	0	0
11712.SUBJECT11.SKIN.60	0	0	0
11712.SUBJECT12.SKIN.1230.A	0	0	1
11712.SUBJECT12.SKIN.1230.B	0	0	0
11712.SUBJECT12.SKIN.79	1	0	0
11712.SUBJECT12.SKIN.80	0	0	0
11712.SUBJECT12.SKIN.82	0	0	0
11712.SUBJECT12.SKIN.83	0	0	0
11712.SUBJECT12.SKIN.84	0	0	0
11712.SUBJECT12.SKIN.85	0	0	0
11712.SUBJECT12.SKIN.86	0	0	0
11712.SUBJECT12.SKIN.87	0	0	0
11712.SUBJECT12.SKIN.88	0	0	0
11712.SUBJECT12.SKIN.89	0	0	0
11712.SUBJECT12.SKIN.90	0	0	0
11712.SUBJECT12.SKIN.91	0	0	0
11712.SUBJECT12.SKIN.92	0	0	0
11712.SUBJECT12.SKIN.93	0	0	0
11712.SUBJECT13.SKIN.111	1	0	0
11712.SUBJECT13.SKIN.112	0	0	0
11712.SUBJECT13.SKIN.113	0	0	0
11712.SUBJECT14.SKIN.126	0	0	0
11712.SUBJECT14.SKIN.127	0	0	0
11712.SUBJECT14.SKIN.128	0	0	0
11712.SUBJECT14.SKIN.129	0	0	0
11712.SUBJECT14.SKIN.130	0	0	0
11712.SUBJECT14.SKIN.131	0	0	0
11712.SUBJECT14.SKIN.132	0	0	0
11712.SUBJECT14.SKIN.133	0	0	0
11712.SUBJECT14.SKIN.134	0	0	0
11712.SUBJECT14.SKIN.135	0	0	0
11712.SUBJECT15.SKIN.148	0	0	0
11712.SUBJECT15.SKIN.149	0	0	0
11712.SUBJECT15.SKIN.150	0	0	0
11712.SUBJECT16.SKIN.170	0	0	1
11712.SUBJECT16.SKIN.171	0	0	0
11712.SUBJECT16.SKIN.172	0	0	0
11712.SUBJECT16.SKIN.173	0	0	0
11712.SUBJECT16.SKIN.174	0	0	0
11712.SUBJECT16.SKIN.175	0	0	0
11712.SUBJECT16.SKIN.176	0	0	0
11712.SUBJECT16.SKIN.177	0	0	0
11712.SUBJECT16.SKIN.178	0	0	0
11712.SUBJECT16.SKIN.179	0	0	0
11712.SUBJECT16.SKIN.180	0	0	0
11712.SUBJECT16.SKIN.181	0	0	0
11712.SUBJECT16.SKIN.182	0	0	0
11712.SUBJECT16.SKIN.183	0	0	0
11712.SUBJECT16.SKIN.184	0	0	0
11712.SUBJECT16.SKIN.185	0	0	0
11712.SUBJECT16.SKIN.186	0	0	0
11712.SUBJECT16.SKIN.187	0	0	0
11712.SUBJECT16.SKIN.2115	0	0	0
11712.SUBJECT17.SKIN.224	0	0	0
11712.SUBJECT17.SKIN.225	0	0	0
11712.SUBJECT17.SKIN.226	0	0	0
11712.SUBJECT17.SKIN.227	0	0	0
11712.SUBJECT17.SKIN.228	0	0	0
11712.SUBJECT17.SKIN.229	0	0	0
11712.SUBJECT17.SKIN.230	0	0	0
11712.SUBJECT17.SKIN.231	0	0	0
11712.SUBJECT17.SKIN.232	0	0	0
11712.SUBJECT17.SKIN.233	0	0	0
11712.SUBJECT17.SKIN.234	0	0	0
11712.SUBJECT17.SKIN.235	0	0	0
11712.SUBJECT17.SKIN.236	0	0	0
11712.SUBJECT17.SKIN.237	0	0	0
11712.SUBJECT17.SKIN.238	0	0	0
11712.SUBJECT17.SKIN.239	0	0	0
11712.SUBJECT17.SKIN.240	0	0	0
11712.SUBJECT17.SKIN.241	0	0	0
11712.SUBJECT17.SKIN.242	0	0	0
11712.SUBJECT17.SKIN.243	0	0	0
11712.SUBJECT17.SKIN.244	0	0	0
11712.SUBJECT17.SKIN.245	0	0	0
11712.SUBJECT18.SKIN.290	0	0	0
11712.SUBJECT18.SKIN.291	0	0	0
11712.SUBJECT18.SKIN.292	0	0	0
11712.SUBJECT18.SKIN.293	0	0	0
11712.SUBJECT18.SKIN.294	0	0	0
11712.SUBJECT18.SKIN.295	0	0	0
11712.SUBJECT18.SKIN.296	0	0	0
11712.SUBJECT18.SKIN.297	0	0	0
11712.SUBJECT18.SKIN.298	0	0	0
11712.SUBJECT18.SKIN.299	0	0	0
11712.SUBJECT18.SKIN.300	0	0	0
11712.SUBJECT18.SKIN.301	0	0	0
