sample_name	bacterial_dna_concentration_bg_corrected	bacterial_dna_concentration_bg_corrected_units	bacterial_dna_concentration_raw	bacterial_dna_concentration_raw_units	human_dna_concentration_bg_corrected	human_dna_concentration_bg_corrected_units	human_dna_concentration_raw	human_dna_concentration_raw_units	percent_mbdna	qpcr_plate_name	qubit_dna_concentration	qubit_dna_concentration_units
11712.BLANK1.1A	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	2.0	0.0	ng/uL
11712.BLANK1.1B	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	2.0	0.0	ng/uL
11712.BLANK1.1C	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	2.0	0.07	ng/uL
11712.BLANK1.1D	0.0	ng/uL	1.4561528695761499e-08	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	2.0	0.1	ng/uL
11712.BLANK1.1E	0.0	ng/uL	9.58619436810483e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	2.0	0.1	ng/uL
11712.BLANK1.1F	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	2.0	0.12	ng/uL
11712.BLANK1.1G	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	2.0	0.08	ng/uL
11712.BLANK1.1H	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	2.0	0.07	ng/uL
11712.BLANK10.10A	0.0	ng/uL	4.33982846156838e-06	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	4.0	0.17	ng/uL
11712.BLANK10.10B	0.0	ng/uL	2.06372998650914e-06	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	4.0	0.06	ng/uL
11712.BLANK10.10C	0.0	ng/uL	1.51484578089493e-06	ng/uL	1.88140400519499e-05	ng/uL	2.96678600766334e-05	ng/uL	100.000000000000000000	4.0	0.46	ng/uL
11712.BLANK10.10D	0.0	ng/uL	8.90817472705468e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	4.0	0.14	ng/uL
11712.BLANK10.10E	0.0	ng/uL	7.427517568531891e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	4.0	0.25	ng/uL
11712.BLANK10.10F	0.0	ng/uL	4.58942691178765e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	4.0	0.23	ng/uL
11712.BLANK10.10G	0.0	ng/uL	6.77011398156431e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	4.0	0.08	ng/uL
11712.BLANK10.10H	0.0	ng/uL	7.823212455707359e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	4.0	0.36	ng/uL
11712.BLANK11.11A	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK11.11B	0.0	ng/uL	1.77051389252128e-06	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK11.11C	0.0	ng/uL	2.96617554700541e-08	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK11.11D	0.0	ng/uL	4.832195396017179e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK11.11E	0.0	ng/uL	4.83690145206097e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK11.11F	0.0	ng/uL	8.64359237658137e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK11.11G	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK11.11H	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK12.11B	0.0	ng/uL	2.5697401169915302e-05	ng/uL	0.0	ng/uL	5.06149923628918e-06	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK12.11C	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK12.11D	0.0	ng/uL	1.17971542831763e-06	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK12.11E	0.0	ng/uL	1.11698663235951e-06	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK12.11F	0.0	ng/uL	1.45655439252311e-06	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.05	ng/uL
11712.BLANK12.11G	0.0	ng/uL	1.8880882736482e-06	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK12.11H	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.18	ng/uL
11712.BLANK12.12A	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	1.5509730948432e-07	ng/uL	indeterminable	5.0	0.11	ng/uL
11712.BLANK12.12B	0.0	ng/uL	6.07420627322272e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK12.12C	0.0	ng/uL	7.066895188145209e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.07	ng/uL
11712.BLANK12.12D	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK12.12E	0.0	ng/uL	4.71398544254574e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK12.12F	0.0	ng/uL	1.8713497058207599e-06	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK12.12G	0.0	ng/uL	3.2817694158741903e-06	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK12.12H	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	1.09	ng/uL
11712.BLANK13.1A	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.82	ng/uL
11712.BLANK13.1B	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK13.1C	0.0	ng/uL	6.96891237072711e-05	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK13.1D	0.0	ng/uL	3.54751792856775e-06	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.23	ng/uL
11712.BLANK13.1E	0.0	ng/uL	1.97475462931599e-05	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.63	ng/uL
11712.BLANK13.1F	0.0	ng/uL	4.57256581825463e-08	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK13.1G	0.0	ng/uL	1.01514760813154e-06	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.1	ng/uL
11712.BLANK13.1H	0.0	ng/uL	2.13697578480073e-05	ng/uL	0.0	ng/uL	2.593252175504e-08	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK14.10A	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	1.74	ng/uL
11712.BLANK14.10B	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.05	ng/uL
11712.BLANK14.10C	0.0	ng/uL	1.4308426229600197e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.21	ng/uL
11712.BLANK14.10D	0.0	ng/uL	6.85863987147303e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.15	ng/uL
11712.BLANK14.10E	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK14.10F	0.0	ng/uL	6.35905730058776e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK14.10G	0.0	ng/uL	6.72834852229039e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK14.10H	0.0	ng/uL	1.23896851819946e-06	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK14.11A	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.13	ng/uL
11712.BLANK14.11B	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	4.1889008190920003e-08	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK14.11C	0.0	ng/uL	8.69960127768639e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK14.11D	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK14.11E	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.17	ng/uL
11712.BLANK14.11F	0.0	ng/uL	5.174548681890921e-07	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.32	ng/uL
11712.BLANK14.11G	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK14.11H	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	1.0	ng/uL
11712.BLANK14.12A	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	9.670226407866e-08	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK14.12B	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK14.12C	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	1.96	ng/uL
11712.BLANK14.12D	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.35	ng/uL
11712.BLANK14.12E	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK14.12F	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK14.12G	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.0	ng/uL
11712.BLANK14.12H	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.19	ng/uL
11712.BLANK14.2A	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	2.0	ng/uL
11712.BLANK14.2B	0.0	ng/uL	9.680075388656039e-06	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.12	ng/uL
11712.BLANK14.2C	0.005156341083589049	ng/uL	0.00696806101161018	ng/uL	0.0	ng/uL	0.0	ng/uL	0.000000000000000000	5.0	0.0	ng/uL
11712.BLANK14.2D	0.0	ng/uL	0.000865133964210243	ng/uL	0.0	ng/uL	0.0	ng/uL	indeterminable	5.0	0.24	ng/uL
