AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	G2	0	0	26	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f19d5ba59d7646349f767d27a75875ab&view=cluster_details&protein=1&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=f19d5ba59d7646349f767d27a75875ab&show=true	N/A	N/A	N/A	N/A	228.63135461538462	138.71263527017916	N/A	N/A	G000073461_170522182039.mzXML|G000073462_170522183406.mzXML|G000073460_170522180710.mzXML	3	1	-1	26	203.061	2	102.03	2.60044e+08
 	G2	0	0	13	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f19d5ba59d7646349f767d27a75875ab&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=11&task=f19d5ba59d7646349f767d27a75875ab&show=true	N/A	N/A	N/A	N/A	154.85682076923078	89.87267887186906	N/A	N/A	G000073461_170522182039.mzXML|G000073462_170522183406.mzXML|G000073460_170522180710.mzXML	3	2	11	13	219.033	2	110.016	3.90047e+07
 	G2	0	0	11	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f19d5ba59d7646349f767d27a75875ab&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=11&task=f19d5ba59d7646349f767d27a75875ab&show=true	N/A	N/A	N/A	N/A	286.5685454545455	62.964583175224405	N/A	N/A	G000073461_170522182039.mzXML|G000073462_170522183406.mzXML|G000073460_170522180710.mzXML	3	3	11	11	221.071	2	111.035	4.58391e+07
 	G2	1	0	91	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f19d5ba59d7646349f767d27a75875ab&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=f19d5ba59d7646349f767d27a75875ab&show=true	N/A	N/A	N/A	N/A	278.9364615384615	113.20163079109632	N/A	N/A	G000073461_170522182039.mzXML|G000073462_170522183406.mzXML|G000073460_170522180710.mzXML	3	5	-1	91	244.087	2	122.543	3.67918e+08
 	G2	1	0	6	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f19d5ba59d7646349f767d27a75875ab&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=f19d5ba59d7646349f767d27a75875ab&show=true	N/A	N/A	N/A	N/A	318.29449999999997	48.645810901351	N/A	N/A	G000073461_170522182039.mzXML|G000073462_170522183406.mzXML|G000073460_170522180710.mzXML	3	6	-1	6	264.055	2	132.527	1.87477e+06
 	G2	1	0	13	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f19d5ba59d7646349f767d27a75875ab&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=f19d5ba59d7646349f767d27a75875ab&show=true	N/A	N/A	N/A	N/A	471.7592307692308	49.872476025827574	N/A	N/A	G000073461_170522182039.mzXML|G000073462_170522183406.mzXML	2	7	-1	13	264.055	2	132.527	1.34835e+07
 	G1,G2	0	25	5	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f19d5ba59d7646349f767d27a75875ab&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=173&task=f19d5ba59d7646349f767d27a75875ab&show=true	N/A	N/A	N/A	N/A	746.5518	22.356055223585408	N/A	N/A	11712.SUBJECT4.MBM.1349.mzXML|11712.SUBJECT50.MBM.1321.mzXML|11712.SUBJECT45.MBM.1314.mzXML|G83348_1x_BF9_01_21898.mzXML|11712.SUBJECT12.DBM.1285.mzXML|11712.SUBJECT55.MBM.1329.mzXML|11712.SUBJECT46.MBM.1315.mzXML|11712.SUBJECT1.MBM.1277.mzXML|G83351_1x_BA10_01_21543.mzXML|G83357_1x_BG10_01_21906.mzXML|11712.SUBJECT21.DBM.1292.mzXML|11712.SUBJECT43.MBM.1310.mzXML|11712.SUBJECT37.DBM.1304.mzXML|11712.SUBJECT56.MBM.1332.mzXML|11712.SUBJECT54.MBM.1328.mzXML|11712.SUBJECT34.MBM.1302.mzXML|11712.SUBJECT56.DBM.1331.mzXML|11712.SUBJECT57.MBM.1334.mzXML|11712.SUBJECT18.MBM.1291.mzXML|11712.SUBJECT41.MBM.1308.mzXML|11712.SUBJECT16.DBM.1288.mzXML|11712.SUBJECT52.MBM.1324.mzXML|G83347_1x_BE9_01_21892.mzXML|11712.SUBJECT14.MBM.1287.mzXML|G83353_1x_BC10_01_21882.mzXML|11712.SUBJECT25.MBM.1293.mzXML|11712.SUBJECT16.MBM.1289.mzXML|11712.SUBJECT12.MBM.1286.mzXML	28	10	173	30	141.958	0	141.958	1.86166e+06
 	G1	0	4	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f19d5ba59d7646349f767d27a75875ab&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=173&task=f19d5ba59d7646349f767d27a75875ab&show=true	N/A	N/A	N/A	N/A	735.419	0.5748504153255732	N/A	N/A	11712.SUBJECT16.MBM.1289.mzXML|11712.SUBJECT51.MBM.1322.mzXML|11712.SUBJECT45.MBM.1314.mzXML|11712.SUBJECT38.MBM.1306.mzXML	4	11	173	4	141.958	0	141.958	150083
 	G1	0	2	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f19d5ba59d7646349f767d27a75875ab&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=173&task=f19d5ba59d7646349f767d27a75875ab&show=true	N/A	N/A	N/A	N/A	734.323	0.5240000000000009	N/A	N/A	11712.SUBJECT14.MBM.1287.mzXML|11712.SUBJECT27.DBM.1297.mzXML	2	12	173	2	143.959	0	143.959	27892
 	G2	0	0	3	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f19d5ba59d7646349f767d27a75875ab&view=cluster_details&protein=13&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=f19d5ba59d7646349f767d27a75875ab&show=true	N/A	N/A	N/A	N/A	137.05700000000002	5.292524350439968	N/A	N/A	G000073462_170522183406.mzXML|G000073460_170522180710.mzXML	2	13	-1	3	143.997	1	143.997	3.11024e+06
