row ID	row m/z	row retention time	Annotation	Bile_Acid_Class	Bile_Acid_Subclass	Structural_Classification	Structural_Identification	StandardMatch
5382	357.2797432	3.878019167	"Spectral Match to Chenodeoxycholic acid from NIST14	"	Primary	Not Conjugated	Primary	2 Hydroxyls	N/A
7195	355.2627061	2.917640123	".beta.-Muricholic acid	"	Primary	Not Conjugated	Primary	3 Hydroxyls	N/A
5091	355.2600881	2.951525758	"Spectral Match to Cholic acid from NIST14	"	Primary	Not Conjugated	Primary	3 Hydroxyls	N/A
5559	373.2759857	3.214638889	".gamma.-Muricholic acid	"	Primary	Not Conjugated	Primary	3 Hydroxyls	N/A
7770	426.3226509	3.280625	"Spectral Match to Cholic acid from NIST14	"	Primary	Not Conjugated	Primary	3 Hydroxyls	N/A
11197	355.2623138	3.287333333	"Spectral Match to Cholic acid from NIST14	"	Primary	Not Conjugated	Primary	3 Hydroxyls	N/A
8368	999.6018233	3.028548485	"taurohyodeoxycholic acid	"	Primary	Conjugated	Primary Conjugaed	"2 Hydroxyls, Taurine Conjugation"	N/A
1066	414.2922284	2.648945975	Glycodeoxycholic acid	Primary	Conjugated	Primary Conjugated	"2 Hydroxyls, Glycine Conjugation"	N/A
1137	414.2905168	2.935864593	glycodeoxycholic acid	Primary	Conjugated	Primary Conjugated	"2 Hydroxyls, Glycine Conjugation"	N/A
4020	432.3114878	2.97840892	"Glycodeoxycholic acid	"	Primary	Conjugated	Primary Conjugated	"2 Hydroxyls, Glycine Conjugation"	N/A
11317	414.2990723	3.3330375	"glycoursodeoxycholic acid	"	Primary	Conjugated	Primary Conjugated	"2 Hydroxyls, Glycine Conjugation"	N/A
7239	432.3117676	3.333437879	"Glycoursodeoxycholic acid	"	Primary	Conjugated	Primary Conjugated	"2 Hydroxyls, Glycine Conjugation"	N/A
7649	450.3223018	3.338779825	"glycochenodeoxycholic acid	"	Primary	Conjugated	Primary Conjugated	"2 Hydroxyls, Glycine Conjugation"	N/A
8401	580.2591989	2.623238095	"2-((4R)-4-((3R,5R,9S,10S,12S,13R,14S,17R)-12-hydroxy-10,13-dimethyl-3-(sulfooxy)hexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"	Primary	Conjugated	Primary Conjugated	"2 Hydroxyls, Taurine Conjugation"	N/A
4550	464.2865957	2.6806	"Tauroursodeoxycholic acid	"	Primary	Conjugated	Primary Conjugated	"2 Hydroxyls, Taurine Conjugation"	N/A
6876	482.2967649	2.704388889	"taurohyodeoxycholic acid	"	Primary	Conjugated	Primary Conjugated	"2 Hydroxyls, Taurine Conjugation"	N/A
6921	602.2434404	2.719327778	"2-((4R)-4-((3R,5R,9S,10S,12S,13R,14S,17R)-12-hydroxy-10,13-dimethyl-3-(sulfooxy)hexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"	Primary	Conjugated	Primary Conjugated	"2 Hydroxyls, Taurine Conjugation"	N/A
